Age,Attrition,DistanceFromHome,YearsAtCompany,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,WorkLifeBalance,NumCompaniesWorked,OverTime
41,Yes,1,6,2,4,Single,5993,1,8,Yes
49,No,8,10,3,2,Married,5130,3,1,No
37,Yes,2,0,4,3,Single,2090,3,6,Yes
33,No,3,8,4,3,Married,2909,3,1,Yes
27,No,2,2,1,2,Married,3468,3,9,No
32,No,2,7,4,4,Single,3068,2,0,No
59,No,3,1,3,1,Married,2670,2,4,Yes
30,No,24,1,4,3,Divorced,2693,3,1,No
38,No,23,9,4,3,Single,9526,3,0,No
36,No,27,7,3,3,Married,5237,2,6,No
35,No,16,5,1,2,Married,2426,3,0,No
29,No,15,9,4,3,Single,4193,3,0,Yes
31,No,26,5,1,3,Divorced,2911,2,1,No
34,No,19,2,2,4,Divorced,2661,3,0,No
28,Yes,24,4,3,3,Single,2028,3,5,Yes
29,No,21,10,2,1,Divorced,9980,3,1,No
32,No,5,6,1,2,Divorced,3298,2,0,Yes
22,No,16,1,4,4,Divorced,2935,2,1,Yes
53,No,2,25,1,4,Married,15427,3,2,No
38,No,2,3,4,4,Single,3944,3,5,Yes
24,No,11,4,1,3,Divorced,4011,2,0,No
36,Yes,9,5,3,1,Single,3407,3,7,No
34,No,7,12,1,2,Single,11994,3,0,No
21,No,15,0,3,4,Single,1232,3,1,No
34,Yes,6,4,2,1,Single,2960,3,2,No
53,No,5,14,3,3,Divorced,19094,2,4,No
32,Yes,16,10,2,1,Single,3919,3,1,Yes
42,No,8,9,3,2,Married,6825,3,0,No
44,No,7,22,1,4,Married,10248,3,3,No
46,No,2,2,2,1,Single,18947,2,3,No
33,No,2,1,3,4,Single,2496,3,4,No
44,No,10,4,4,4,Married,6465,4,2,Yes
30,No,9,10,4,3,Single,2206,3,1,No
39,Yes,5,1,4,4,Married,2086,4,3,No
24,Yes,1,2,2,4,Married,2293,2,2,Yes
43,No,2,5,4,3,Divorced,2645,2,1,No
50,Yes,3,3,1,3,Married,2683,3,1,Yes
35,No,2,2,4,4,Married,2014,3,1,No
36,No,5,1,2,1,Married,3419,4,9,Yes
33,No,1,5,3,1,Married,5376,3,2,No
35,No,4,1,3,4,Divorced,1951,3,1,No
27,No,2,1,4,1,Divorced,2341,3,1,No
26,Yes,25,1,1,3,Single,2293,2,1,No
27,No,8,9,4,3,Single,8726,3,1,No
30,No,1,12,3,4,Single,4011,3,1,No
41,Yes,12,22,2,3,Married,19545,3,1,No
34,No,23,9,2,3,Single,4568,3,0,No
37,No,19,1,2,2,Married,3022,3,4,No
46,No,5,9,1,4,Single,5772,3,4,Yes
35,No,8,1,4,4,Married,2269,3,1,No
48,Yes,1,1,1,3,Single,5381,3,9,Yes
28,Yes,5,2,3,3,Single,3441,2,1,Yes
44,No,1,4,2,1,Divorced,5454,2,5,Yes
35,No,11,4,3,1,Married,9884,3,2,Yes
26,No,23,2,3,4,Married,4157,2,7,Yes
33,No,1,15,1,4,Single,13458,3,1,Yes
35,No,18,9,2,1,Married,9069,2,1,No
35,No,23,2,3,1,Married,4014,3,3,Yes
31,No,7,7,4,4,Divorced,5915,2,3,No
37,No,1,7,1,3,Divorced,5993,4,1,No
32,No,1,9,1,4,Married,6162,3,1,Yes
38,No,29,10,4,4,Single,2406,3,1,No
50,No,7,27,2,3,Divorced,18740,2,5,Yes
59,No,25,21,1,1,Single,7637,2,7,No
36,No,8,17,3,3,Divorced,10096,3,1,No
55,No,8,5,4,3,Divorced,14756,3,2,Yes
36,No,11,6,2,2,Single,6499,3,1,No
45,No,7,1,2,1,Divorced,9724,3,2,No
35,No,1,3,2,1,Married,2194,2,4,No
36,Yes,9,1,4,3,Married,3388,2,0,Yes
59,No,1,4,1,3,Single,5473,2,7,No
29,No,2,5,3,2,Married,2703,3,0,No
31,No,1,1,3,2,Single,2501,3,1,No
32,No,1,10,2,2,Married,6220,3,1,No
36,No,6,1,2,4,Married,3038,3,3,No
31,No,8,11,3,4,Single,4424,3,1,No
35,No,1,15,3,1,Single,4312,3,0,No
45,No,6,0,4,1,Married,13245,4,4,Yes
37,No,7,5,1,3,Single,13664,4,4,No
46,No,5,4,2,2,Divorced,5021,3,8,Yes
30,No,1,10,4,4,Married,5126,2,1,Yes
35,No,1,6,2,3,Single,2859,3,1,No
55,No,1,1,1,4,Married,10239,3,3,No
38,No,6,13,2,4,Divorced,5329,3,7,Yes
34,No,1,5,1,2,Married,4325,3,1,No
56,No,7,6,4,4,Single,7260,2,4,No
23,No,2,0,3,1,Divorced,2322,3,3,No
51,No,9,4,4,4,Married,2075,3,3,No
30,No,2,11,3,4,Married,4152,3,1,No
46,Yes,9,9,3,4,Single,9619,3,1,No
40,No,1,22,3,2,Married,13503,2,1,No
51,No,21,10,3,4,Single,5441,1,0,Yes
30,No,4,11,3,2,Divorced,5209,2,1,Yes
46,No,1,10,3,1,Married,10673,2,2,Yes
32,No,6,11,2,3,Single,5010,3,1,No
54,No,2,4,1,3,Married,13549,1,9,No
24,No,3,3,1,3,Married,4999,2,0,No
28,No,4,5,2,3,Married,4221,4,1,No
58,No,10,37,4,3,Single,13872,2,0,No
44,No,23,3,2,2,Married,2042,4,4,No
37,Yes,6,3,3,1,Divorced,2073,3,4,Yes
32,No,1,1,4,1,Single,2956,3,1,No
